facility_name,address,prefecture,source_name,latitude,longitude
郡山市中央公民館,〒963-8876 福島県郡山市麓山1丁目8-4,福島県,福島県断酒会,37.393973791975824,140.37255550320876
郡山市中央公民館堤下分室,〒963-8876 福島県郡山市麓山1丁目8-4,福島県,福島県断酒会,37.393973791975824,140.37255550320876
福島市民センター,〒960-8601 福島県福島市五老内町3-1,福島県,福島県断酒会,37.76086610812515,140.47374217439003
伊達市伊達中央学習センター,〒960-0468 福島県伊達市北後22-1,福島県,福島県断酒会,37.82650940677444,140.49847845268332
須賀川市市民交流センターtette,〒962-0845 福島県須賀川市中町4-1,福島県,福島県断酒会,37.2895214866607,140.37498273816482
須賀川市ふれあいセンター,〒962-0857 福島県須賀川市長禄町79,福島県,福島県断酒会,37.296008275052294,140.3707382762605
塙町中央公民館,〒963-5405 福島県東白川郡塙町塙桜木町80,福島県,福島県断酒会,36.963641622522324,140.41739478313508
会津稽古堂(生涯学習センター),〒965-0871 福島県会津若松市栄町3-50,福島県,福島県断酒会,37.497393367920644,139.93021577644748
小名浜公民館,〒971-8166 福島県いわき市小名浜愛宕上7-2,福島県,福島県断酒会,36.961630334619485,140.89371411402792
高久公民館,〒970-0221 福島県いわき市平下高久水門100 いわき市高久公民館,福島県,福島県断酒会,37.03198026501771,140.95761126861342
勿来錦公民館,〒974-8232 福島県いわき市錦町上川田21,福島県,福島県断酒会,36.91060400433379,140.79182382471882
平文化センター,〒970-8026 福島県いわき市平堂根町1-4,福島県,福島県断酒会,37.053311553173316,140.88981316076644
郡山市男女共同参画センター,〒963-8876 福島県郡山市麓山2丁目9-1,福島県,福島県断酒会,37.396513905986154,140.36995542643652
二本松市安達公民館,,福島県,福島県断酒会,,
矢吹町複合施設KOKOTTO,,福島県,福島県断酒会,,
