facility_name,prefecture,source_name,address,latitude,longitude
荒町市民センター,宮城県,宮城県断酒会,〒984-0073 宮城県仙台市若林区荒町86-2 仙台市荒町市民センター,38.39361499021946,140.868373545044
栗原市若柳公民館,宮城県,宮城県断酒会,〒989-5501 宮城県栗原市若柳川北古川83,38.772229906984805,141.135884300936
一関市花泉町涌津公民館,宮城県,宮城県断酒会,〒029-3105 岩手県一関市花泉町涌津境57-37（涌津原公民館）,38.83468729436304,141.18116947881728
佐藤和男氏・自宅,宮城県,宮城県断酒会,,,
気仙沼市本吉保健福祉センター,宮城県,宮城県断酒会,〒988-0381 宮城県気仙沼市本吉町津谷新明戸136,38.793586375414826,141.50263883164303
名取市増田公民館4階研修室,宮城県,宮城県断酒会,〒981-1224 宮城県名取市増田4丁目7-30,38.174185350424096,140.88367901570996
東北会病院4階小会議室,宮城県,宮城県断酒会,〒981-0933 宮城県仙台市青葉区柏木1丁目8-7,38.27582781071468,140.86053690046265
東北会病院4階大会議室,宮城県,宮城県断酒会,〒981-0933 宮城県仙台市青葉区柏木1丁目8-7,38.27582781071468,140.86053690046265
宮城県精神保健福祉センター,宮城県,宮城県断酒会,〒989-6117 宮城県大崎市古川旭5丁目7-20,38.586880468706,140.97903293020977
支倉集会所,宮城県,宮城県断酒会,,,
柴田町・槻木生涯学習センター,宮城県,宮城県断酒会,〒989-1752 宮城県柴田郡柴田町槻木下町3丁目1-60,38.07871074753013,140.8143661002762
太白区中央市民センター,宮城県,宮城県断酒会,〒982-0011 宮城県仙台市太白区長町5丁目3-2,38.22836299852255,140.8841254850745
東北会病院,宮城県,宮城県断酒会,〒981-0933 宮城県仙台市青葉区柏木1丁目8-7,38.27582781071468,140.86053690046265
いずみの杜診療所,宮城県,宮城県断酒会,〒981-3111 宮城県仙台市泉区松森下町8-1,38.31718821658456,140.9146350232481
東北会病院1階集団療法室,宮城県,宮城県断酒会,〒981-0933 宮城県仙台市青葉区柏木1丁目8-7,38.27582781071468,140.86053690046265
塩竈市公民館生涯学習センター,宮城県,宮城県断酒会,〒985-0036 宮城県塩竈市東玉川町9-1,38.31161049127824,141.01161584652633
石巻市保健相談センター,宮城県,宮城県断酒会,〒986-0826 宮城県石巻市鋳銭場1-27,38.43488274532917,141.30571843130022
宮千代・加藤内科医院,宮城県,宮城県断酒会,〒983-0044 宮城県仙台市宮城野区宮千代1丁目2-9,38.25364376805494,140.91084751578492
柏木市民センター,宮城県,宮城県断酒会,〒981-0933 宮城県仙台市青葉区柏木3丁目3-1,38.27650130124007,140.85615441580686
石巻市保健相談センター石巻医師会館,宮城県,宮城県断酒会,,,
榴ヶ岡市民センター,宮城県,宮城県断酒会,〒983-0842 宮城県仙台市宮城野区五輪1丁目3-1,38.26004839805072,140.89508802373126
